City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gamba,GA,2021-07-28 17:54:06,-2.65,10.0,73.22,85,48,7.07
1,Gamba,GA,2021-07-28 17:54:06,-2.65,10.0,73.22,85,48,7.07
2,Busselton,AU,2021-07-28 17:56:46,-33.65,115.3333,58.08,78,46,24.25
3,Santa Isabel Do Rio Negro,BR,2021-07-28 17:56:46,-0.4139,-65.0192,91.94,48,97,0.83
4,Ryki,PL,2021-07-28 17:56:46,51.6257,21.9327,81.63,71,77,6.24
5,Tupiza,BO,2021-07-28 17:56:47,-21.45,-65.7167,60.84,13,8,26.15
6,Savannah Bight,HN,2021-07-28 17:56:47,16.45,-85.85,91.45,75,86,20.74
7,Sambava,MG,2021-07-28 17:56:47,-14.2667,50.1667,67.91,79,0,11.23
8,Hermanus,ZA,2021-07-28 17:56:48,-34.4187,19.2345,54.81,72,23,18.32
9,Puerto Plata,DO,2021-07-28 17:56:02,19.7934,-70.6884,91.45,83,75,0.0
10,Rieti,IT,2021-07-28 17:56:49,42.4072,12.8592,87.19,39,20,4.0
11,Tasiilaq,GL,2021-07-28 17:56:49,65.6145,-37.6368,44.91,68,87,2.28
12,Clyde River,CA,2021-07-28 17:56:50,70.4692,-68.5914,52.03,71,75,6.91
13,Qaanaaq,GL,2021-07-28 17:56:50,77.484,-69.3632,44.51,94,100,9.48
14,Asifabad,IN,2021-07-28 17:56:50,19.3667,79.2833,79.09,79,99,7.63
15,Saint-Raymond,CA,2021-07-28 17:56:51,45.467,-73.6095,76.98,45,20,3.44
16,Narasannapeta,IN,2021-07-28 17:56:51,18.4167,84.05,81.82,69,100,6.6
17,Soligalich,RU,2021-07-28 17:56:52,59.0778,42.2864,64.33,76,54,1.63
18,Saint-Pierre,RE,2021-07-28 17:56:52,-21.3393,55.4781,73.08,51,0,5.75
19,Ushuaia,AR,2021-07-28 17:52:38,-54.8,-68.3,46.02,81,40,3.44
20,Ilulissat,GL,2021-07-28 17:56:53,69.2167,-51.1,43.07,86,59,5.73
21,Dehloran,IR,2021-07-28 17:56:54,32.6941,47.2679,100.0,9,0,15.35
22,Saint-Philippe,RE,2021-07-28 17:56:54,-21.3585,55.7679,72.99,88,100,17.96
23,Tiznit,MA,2021-07-28 17:56:55,29.5833,-9.5,85.71,40,4,6.51
24,Virginia Beach,US,2021-07-28 17:52:27,36.8529,-75.978,92.01,66,75,9.22
25,Astana,KZ,2021-07-28 17:55:13,51.1801,71.446,62.55,45,0,6.71
26,Jamestown,US,2021-07-28 17:56:55,42.097,-79.2353,79.3,65,10,3.44
